session_id,client_identity_id,label,start_ts,end_ts,pcap_path
e3edd5a8-c57b-42f2-9642-13c904d04706,8893ebd6-5752-4071-9721-f2dc9e9730a2,human,1787056037.9867046,1787056074.0460837,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\e3edd5a8-c57b-42f2-9642-13c904d04706.pcap
a5b7ced9-a812-4ee4-9561-7a6360801663,8893ebd6-5752-4071-9721-f2dc9e9730a2,human,1787056074.5646212,1787056117.8726883,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\a5b7ced9-a812-4ee4-9561-7a6360801663.pcap
e9e0cfdd-9e48-43a8-9407-0839f7f62bc7,8893ebd6-5752-4071-9721-f2dc9e9730a2,human,1787056118.3928337,1787056149.1356068,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\e9e0cfdd-9e48-43a8-9407-0839f7f62bc7.pcap
3aea09b2-5a75-4405-992d-fbe5a348fe7b,8893ebd6-5752-4071-9721-f2dc9e9730a2,human,1787056149.6536756,1787056189.4151027,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\3aea09b2-5a75-4405-992d-fbe5a348fe7b.pcap
f1490595-a5dd-4507-abbf-3871eb904f2b,8893ebd6-5752-4071-9721-f2dc9e9730a2,human,1787056189.936172,1787056233.835236,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\f1490595-a5dd-4507-abbf-3871eb904f2b.pcap
3ecded75-6794-4807-8498-cd3cb6a724ff,59ef50b5-6c10-4a65-b4c0-a63c3ad77cf1,bot_t3,1787056249.716759,1787056251.3992007,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\3ecded75-6794-4807-8498-cd3cb6a724ff.pcap
bae7ff6a-c776-4997-9c59-1e4a85d52e88,59ef50b5-6c10-4a65-b4c0-a63c3ad77cf1,bot_t3,1787056251.919799,1787056253.5307422,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\bae7ff6a-c776-4997-9c59-1e4a85d52e88.pcap
cb0981e4-fef8-48e4-a651-2c3b57fa1130,59ef50b5-6c10-4a65-b4c0-a63c3ad77cf1,bot_t3,1787056254.0513725,1787056255.7356982,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\cb0981e4-fef8-48e4-a651-2c3b57fa1130.pcap
19a4fd5d-3837-4a59-9c8a-be1eb8df375a,59ef50b5-6c10-4a65-b4c0-a63c3ad77cf1,bot_t3,1787056256.255621,1787056257.9784663,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\19a4fd5d-3837-4a59-9c8a-be1eb8df375a.pcap
45a2f416-8f32-422b-9fa9-3cc78117abe4,e8ef2b78-e44c-43a1-9653-ffa0e27fa8c5,bot_t3,1787056258.496963,1787056260.1911802,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\45a2f416-8f32-422b-9fa9-3cc78117abe4.pcap
bd7c87d5-291e-4557-a51b-3e9e92a52e2a,ab098b31-84c0-4dd8-82c9-b14f7da87a62,bot_t1,1787058779.97833,1787058781.371424,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\bd7c87d5-291e-4557-a51b-3e9e92a52e2a.pcap
514d3d45-062e-4958-a9e7-65fe9be8e26d,ab098b31-84c0-4dd8-82c9-b14f7da87a62,bot_t1,1787058782.4173148,1787058783.2957776,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\514d3d45-062e-4958-a9e7-65fe9be8e26d.pcap
c5717803-bcd3-4360-9144-c13573541ace,ab098b31-84c0-4dd8-82c9-b14f7da87a62,bot_t1,1787058784.3185701,1787058785.2075276,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\c5717803-bcd3-4360-9144-c13573541ace.pcap
f98855b7-f4a4-46bc-8e79-9f2fb3ace4ba,ab098b31-84c0-4dd8-82c9-b14f7da87a62,bot_t1,1787058786.3031292,1787058787.1621134,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\f98855b7-f4a4-46bc-8e79-9f2fb3ace4ba.pcap
c9d8fc13-42dc-4ee1-a17e-b1c0a2c19e80,ab098b31-84c0-4dd8-82c9-b14f7da87a62,bot_t1,1787058788.288852,1787058789.1485035,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\c9d8fc13-42dc-4ee1-a17e-b1c0a2c19e80.pcap
7e86546a-5c43-4e93-bf80-44a60ea24a7d,da2e2139-9f1d-4ed6-ad67-96f4f8123190,bot_t2,1787058790.4884098,1787058791.3981655,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\7e86546a-5c43-4e93-bf80-44a60ea24a7d.pcap
f8c18258-2627-4cfb-9bd2-2739afe7c45c,da2e2139-9f1d-4ed6-ad67-96f4f8123190,bot_t2,1787058792.467222,1787058793.2639816,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\f8c18258-2627-4cfb-9bd2-2739afe7c45c.pcap
7f7154d7-2a81-427c-8bef-6ccf2b24fe9e,da2e2139-9f1d-4ed6-ad67-96f4f8123190,bot_t2,1787058794.386719,1787058795.211097,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\7f7154d7-2a81-427c-8bef-6ccf2b24fe9e.pcap
f4d30595-189c-49cd-95f4-665fb1265f62,57c5d057-ef34-4f73-ae39-1216a241ae16,bot_t2,1787058796.2326229,1787058797.0896108,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\f4d30595-189c-49cd-95f4-665fb1265f62.pcap
da006cf6-1ffc-41af-81cf-fc8aff164105,57c5d057-ef34-4f73-ae39-1216a241ae16,bot_t2,1787058798.1137688,1787058798.9532948,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\da006cf6-1ffc-41af-81cf-fc8aff164105.pcap
e0e1d4b4-8871-4cb0-a8d7-b66cf18002be,adbcef72-614e-44f5-9c9e-f4d9b5797c32,human,1787061084.7161481,1787061117.3281884,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\e0e1d4b4-8871-4cb0-a8d7-b66cf18002be.pcap
d21f1d8c-4ed5-4bda-ab90-3cbc5e2c0638,adbcef72-614e-44f5-9c9e-f4d9b5797c32,human,1787061118.328772,1787061140.578509,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\d21f1d8c-4ed5-4bda-ab90-3cbc5e2c0638.pcap
57fd3f38-1f0d-4f1a-a475-95e4e13a80df,adbcef72-614e-44f5-9c9e-f4d9b5797c32,human,1787061141.608651,1787061162.6955264,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\57fd3f38-1f0d-4f1a-a475-95e4e13a80df.pcap
fee83b31-075c-4663-bdd6-693edae2a20b,528beb24-72e0-4c3d-a069-cc3c2f95d01d,human,1787061163.7354033,1787061199.1303477,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\fee83b31-075c-4663-bdd6-693edae2a20b.pcap
b842c333-15a4-46fe-a769-3051a165f1d9,528beb24-72e0-4c3d-a069-cc3c2f95d01d,human,1787061200.1997755,1787061250.2543948,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\b842c333-15a4-46fe-a769-3051a165f1d9.pcap
af6e5735-14cd-4268-9ec2-02ed1380053d,528beb24-72e0-4c3d-a069-cc3c2f95d01d,human,1787061251.2526212,1787061290.0997877,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\af6e5735-14cd-4268-9ec2-02ed1380053d.pcap
6232bb89-070a-41f8-a206-4ff094bba77b,528beb24-72e0-4c3d-a069-cc3c2f95d01d,human,1787061291.180006,1787061310.7357092,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\6232bb89-070a-41f8-a206-4ff094bba77b.pcap
3e8ca582-28df-4708-b490-2fc20398b8a1,21a4910e-f885-42be-b2aa-d34d3a11e5a3,human,1787061311.7595794,1787061345.649171,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\3e8ca582-28df-4708-b490-2fc20398b8a1.pcap
3e1cf316-88eb-47b1-8fd2-04c91263866f,21a4910e-f885-42be-b2aa-d34d3a11e5a3,human,1787061346.764755,1787061363.416992,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\3e1cf316-88eb-47b1-8fd2-04c91263866f.pcap
3ab655c6-54f7-4151-869c-19bc37dcceb7,21a4910e-f885-42be-b2aa-d34d3a11e5a3,human,1787061364.4765177,1787061392.4500346,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\3ab655c6-54f7-4151-869c-19bc37dcceb7.pcap
13c41c70-f608-4088-8425-d6eabb8c0282,21a4910e-f885-42be-b2aa-d34d3a11e5a3,human,1787061393.5287113,1787061412.6935017,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\13c41c70-f608-4088-8425-d6eabb8c0282.pcap
d642634f-724b-4513-b9ad-27f73ab0febe,21a4910e-f885-42be-b2aa-d34d3a11e5a3,human,1787061413.779658,1787061452.3808343,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\d642634f-724b-4513-b9ad-27f73ab0febe.pcap
b41fcbc4-a8e2-4923-bc7b-df8001ca2900,c2ce8924-e4d0-4cd4-9d50-79d799af03bb,human,1787061453.4364433,1787061474.3587885,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\b41fcbc4-a8e2-4923-bc7b-df8001ca2900.pcap
78301256-db7e-4eaa-a25e-abc459ccfbcb,c2ce8924-e4d0-4cd4-9d50-79d799af03bb,human,1787061475.5202935,1787061516.113917,C:\Users\har20\OneDrive\Desktop\project 1\code\quic-pqtls-bot-detection\capture\pcap_store\78301256-db7e-4eaa-a25e-abc459ccfbcb.pcap
